epoch,step,train_auc_epoch,train_auc_step,train_loss_epoch,train_loss_step,val_auc,val_loss
0,4,,,,,0.3896010220050812,5.4010725021362305
0,4,0.3753575384616852,,5.521059989929199,,,
1,9,,,,,0.3899837136268616,5.0578837394714355
1,9,0.3639301061630249,,5.151386260986328,,,
2,14,,,,,0.39142361283302307,4.759415149688721
2,14,0.36452728509902954,,4.830509185791016,,,
3,19,,,,,0.39127403497695923,4.5032958984375
3,19,0.375296413898468,,4.550406455993652,,,
4,24,,,,,0.3922838866710663,4.284781455993652
4,24,0.34940674901008606,,4.30989933013916,,,
5,29,,,,,0.3941965699195862,4.097847938537598
5,29,0.37050169706344604,,4.105913162231445,,,
6,34,,,,,0.3958980143070221,3.937224864959717
6,34,0.37548261880874634,,3.930492401123047,,,
7,39,,,,,0.39711248874664307,3.798987865447998
7,39,0.3528161942958832,,3.78008770942688,,,
8,44,,,,,0.39780017733573914,3.678757429122925
8,44,0.37776821851730347,,3.6521172523498535,,,
9,49,,0.27336278557777405,,3.53153395652771,,
9,49,,,,,0.3968718349933624,3.575204372406006
9,49,0.3570771813392639,,3.535135269165039,,,
