epoch,step,train_auc_epoch,train_loss_epoch,val_auc,val_loss
0,0,,,0.22789351642131805,6.4626359939575195
0,0,0.37765994668006897,6.506335258483887,,
1,1,,,0.22789351642131805,6.348609447479248
1,1,0.37880444526672363,6.397852897644043,,
2,2,,,0.22789351642131805,6.23682975769043
2,2,0.37976333498954773,6.291506767272949,,
3,3,,,0.2236882597208023,6.127322196960449
3,3,0.3797411024570465,6.187326431274414,,
4,4,,,0.2236882597208023,6.020095348358154
4,4,0.3816951811313629,6.085321426391602,,
5,5,,,0.2236882597208023,5.915162563323975
5,5,0.38154447078704834,5.98548698425293,,
6,6,,,0.2219521552324295,5.812536716461182
6,6,0.38496506214141846,5.887821674346924,,
7,7,,,0.21280863881111145,5.712228775024414
7,7,0.3854893445968628,5.792323112487793,,
8,8,,,0.21677690744400024,5.6142401695251465
8,8,0.38731542229652405,5.698988914489746,,
9,9,,,0.2125716507434845,5.518571376800537
9,9,0.38839074969291687,5.607813835144043,,
