epoch,step,train_auc_epoch,train_auc_step,train_loss_epoch,train_loss_step,val_auc,val_loss
0,4,,,,,0.37431788444519043,6.97689962387085
0,4,0.38066619634628296,,7.338925361633301,,,
1,9,,,,,0.3731890320777893,6.463372707366943
1,9,0.3616659939289093,,6.787107944488525,,,
2,14,,,,,0.37286368012428284,6.0047173500061035
2,14,0.35107070207595825,,6.279753684997559,,,
3,19,,,,,0.37102916836738586,5.594653606414795
3,19,0.37923696637153625,,5.82846736907959,,,
4,24,,,,,0.3721129596233368,5.228401184082031
4,24,0.3599221110343933,,5.4292311668396,,,
5,29,,,,,0.3690626621246338,4.902527809143066
5,29,0.375174343585968,,5.074415683746338,,,
6,34,,,,,0.37184110283851624,4.614894866943359
6,34,0.3600795269012451,,4.751809120178223,,,
7,39,,,,,0.37128525972366333,4.360173225402832
7,39,0.37147292494773865,,4.474808216094971,,,
8,44,,,,,0.36906367540359497,4.137943744659424
8,44,0.38834676146507263,,4.226920127868652,,,
9,49,,0.3502437174320221,,3.8340747356414795,,
9,49,,,,,0.3704848885536194,3.9442780017852783
9,49,0.38812634348869324,,4.011621475219727,,,
