epoch,step,train_auc_epoch,train_auc_step,train_loss_epoch,train_loss_step,val_auc,val_loss
0,4,,,,,0.30612868070602417,7.012369632720947
0,4,0.43506017327308655,,7.2882981300354,,,
1,9,,,,,0.30624905228614807,6.441004276275635
1,9,0.418738454580307,,6.686287879943848,,,
2,14,,,,,0.30599766969680786,5.937569618225098
2,14,0.3939613401889801,,6.146673679351807,,,
3,19,,,,,0.3065278232097626,5.499083518981934
3,19,0.436519056558609,,5.671557903289795,,,
4,24,,,,,0.3093177080154419,5.117553234100342
4,24,0.4244895577430725,,5.265110015869141,,,
5,29,,,,,0.3104082942008972,4.788754940032959
5,29,0.42581215500831604,,4.909499168395996,,,
6,34,,,,,0.3130946755409241,4.505145072937012
6,34,0.42031174898147583,,4.6011552810668945,,,
7,39,,,,,0.3132959008216858,4.258803844451904
7,39,0.4465409219264984,,4.340843200683594,,,
8,44,,,,,0.3149625062942505,4.0453596115112305
8,44,0.43807077407836914,,4.113218784332275,,,
9,49,,0.3372911512851715,,4.007627010345459,,
9,49,,,,,0.3160492181777954,3.8610100746154785
9,49,0.429945170879364,,3.9145209789276123,,,
