epoch,step,train_acc_epoch,train_loss_epoch,val_acc,val_loss
0,0,,,0.5625,2.013714075088501
0,0,0.3046875,2.25734281539917,,
1,1,,,0.5625,2.0233919620513916
1,1,0.3359375,2.2233338356018066,,
2,2,,,0.5625,2.034290075302124
2,2,0.3359375,2.191615581512451,,
3,3,,,0.5625,2.046128988265991
3,3,0.34375,2.1621665954589844,,
4,4,,,0.5625,2.058612823486328
4,4,0.375,2.1349239349365234,,
5,5,,,0.53125,2.0714364051818848
5,5,0.3984375,2.1097874641418457,,
6,6,,,0.4375,2.0842885971069336
6,6,0.4140625,2.0866241455078125,,
7,7,,,0.40625,2.0968570709228516
7,7,0.453125,2.065272331237793,,
8,8,,,0.34375,2.108834743499756
8,8,0.4609375,2.0455501079559326,,
9,9,,,0.375,2.119932174682617
9,9,0.53125,2.0272624492645264,,
