epoch,step,train_auc_epoch,train_auc_step,train_loss_epoch,train_loss_step,val_auc,val_loss
0,4,,,,,0.3949086368083954,7.048717498779297
0,4,0.3879764676094055,,7.450371742248535,,,
1,9,,,,,0.397029310464859,6.5596771240234375
1,9,0.34068572521209717,,6.9202423095703125,,,
2,14,,,,,0.3969120979309082,6.119571685791016
2,14,0.3753792345523834,,6.439299583435059,,,
3,19,,,,,0.394991934299469,5.728126525878906
3,19,0.35778990387916565,,6.0055389404296875,,,
4,24,,,,,0.39298707246780396,5.382002830505371
4,24,0.3577352464199066,,5.62119722366333,,,
5,29,,,,,0.39431798458099365,5.075068473815918
5,29,0.3506235182285309,,5.282783508300781,,,
6,34,,,,,0.3910006880760193,4.80436372756958
6,34,0.35635924339294434,,4.97736120223999,,,
7,39,,,,,0.3931460976600647,4.5639824867248535
7,39,0.3680805563926697,,4.713931083679199,,,
8,44,,,,,0.3935793936252594,4.351987838745117
8,44,0.3823125958442688,,4.4803948402404785,,,
9,49,,0.28349512815475464,,4.0803937911987305,,
9,49,,,,,0.39552515745162964,4.166701793670654
9,49,0.34282079339027405,,4.2704291343688965,,,
