epoch,step,train_acc_epoch,train_loss_epoch,val_acc,val_loss
0,0,,,0.7083333134651184,6.205319404602051
0,0,0.6684027910232544,6.336604595184326,,
1,1,,,0.7222222089767456,6.109394073486328
1,1,0.6875,6.238743782043457,,
2,2,,,0.7361111044883728,6.0151686668396
2,2,0.7118055820465088,6.142642021179199,,
3,3,,,0.7708333134651184,5.922683238983154
3,3,0.7361111044883728,6.048343658447266,,
4,4,,,0.7777777910232544,5.831964492797852
4,4,0.7430555820465088,5.95588493347168,,
5,5,,,0.8125,5.7430315017700195
5,5,0.765625,5.865291118621826,,
6,6,,,0.8263888955116272,5.655896186828613
6,6,0.7829861044883728,5.776577472686768,,
7,7,,,0.8263888955116272,5.570566177368164
7,7,0.6909722089767456,5.689752578735352,,
8,8,,,0.8333333134651184,5.4870405197143555
8,8,0.694444477558136,5.604817867279053,,
9,9,,,0.8402777910232544,5.405311584472656
9,9,0.6979166865348816,5.521771430969238,,
