epoch,step,train_auc_epoch,train_loss_epoch,val_auc,val_loss
0,0,,,0.2633046507835388,7.963470458984375
0,0,0.29575130343437195,8.23325252532959,,
1,1,,,0.2633046507835388,7.842613697052002
1,1,0.2961888909339905,8.108901023864746,,
2,2,,,0.2633046507835388,7.723118305206299
2,2,0.29789355397224426,7.985864639282227,,
3,3,,,0.2633046507835388,7.605029582977295
3,3,0.2985033392906189,7.864217758178711,,
4,4,,,0.265040785074234,7.488383769989014
4,4,0.29952776432037354,7.744021415710449,,
5,5,,,0.265040785074234,7.373214244842529
5,5,0.29912257194519043,7.625325679779053,,
6,6,,,0.265040785074234,7.25955057144165
6,6,0.29898110032081604,7.508172035217285,,
7,7,,,0.265040785074234,7.147422790527344
7,7,0.2992223799228668,7.392600059509277,,
8,8,,,0.26257163286209106,7.036854267120361
8,8,0.2975196838378906,7.278642654418945,,
9,9,,,0.2601025104522705,6.927866458892822
9,9,0.296561062335968,7.166329860687256,,
