epoch,step,train_auc_epoch,train_loss_epoch,val_auc,val_loss
0,0,,,0.2520006597042084,7.4948649406433105
0,0,0.360320121049881,7.785322666168213,,
1,1,,,0.24062500894069672,7.377762794494629
1,1,0.35999515652656555,7.66256046295166,,
2,2,,,0.24062500894069672,7.2628068923950195
2,2,0.3592054545879364,7.541816711425781,,
3,3,,,0.24062500894069672,7.150010585784912
3,3,0.3592107594013214,7.423147201538086,,
4,4,,,0.24062500894069672,7.03937292098999
4,4,0.3589649796485901,7.306591987609863,,
5,5,,,0.24309413135051727,6.930877208709717
5,5,0.35908523201942444,7.19217586517334,,
6,6,,,0.24706237018108368,6.8245110511779785
6,6,0.3585004210472107,7.079911231994629,,
7,7,,,0.24706237018108368,6.720263957977295
7,7,0.3593960404396057,6.969808578491211,,
8,8,,,0.24706237018108368,6.618127822875977
8,8,0.36001846194267273,6.861877918243408,,
9,9,,,0.24706237018108368,6.518097877502441
9,9,0.36116933822631836,6.756131172180176,,
