epoch,step,train_loss_epoch,val_loss
0,0,,0.4758211672306061
0,0,0.5078130960464478,
1,1,,0.4598798155784607
1,1,0.49306178092956543,
2,2,,0.44474369287490845
2,2,0.47915327548980713,
3,3,,0.4304082691669464
3,3,0.4660828113555908,
4,4,,0.41686397790908813
4,4,0.45384010672569275,
5,5,,0.404097318649292
5,5,0.4424102306365967,
6,6,,0.3920915126800537
6,6,0.4317742586135864,
7,7,,0.38082748651504517
7,7,0.42191019654273987,
8,8,,0.3702836036682129
8,8,0.4127929210662842,
9,9,,0.36043617129325867
9,9,0.40439486503601074,
