epoch,step,train_auc_epoch,train_loss_epoch,val_auc,val_loss
0,0,,,0.03703703731298447,8.875936508178711
0,0,0.2552909851074219,9.342689514160156,,
1,1,,,0.03703703731298447,8.736910820007324
1,1,0.13359788060188293,8.876124382019043,,
2,2,,,0.03703703731298447,8.599495887756348
2,2,0.2243386059999466,8.765937805175781,,
3,3,,,0.03703703731298447,8.463844299316406
3,3,0.32804229855537415,8.979815483093262,,
4,4,,,0.03703703731298447,8.330080032348633
4,4,0.1915343850851059,8.960845947265625,,
5,5,,,0.03703703731298447,8.198319435119629
5,5,0.24338623881340027,8.932414054870605,,
6,6,,,0.03703703731298447,8.068662643432617
6,6,0.3483244776725769,8.378137588500977,,
7,7,,,0.03703703731298447,7.941195011138916
7,7,0.3989418148994446,8.398256301879883,,
8,8,,,0.03703703731298447,7.815983772277832
8,8,0.18320104479789734,7.912849426269531,,
9,9,,,0.07407407462596893,7.693087100982666
9,9,0.23562608659267426,7.901043891906738,,
