epoch,step,train_auc_epoch,train_loss_epoch,val_auc,val_loss
0,0,,,0.16542108356952667,6.40299129486084
0,0,0.3316475749015808,6.628373146057129,,
1,1,,,0.16542108356952667,6.302076816558838
1,1,0.3329772353172302,6.527475357055664,,
2,2,,,0.16542108356952667,6.202868461608887
2,2,0.33278313279151917,6.428290843963623,,
3,3,,,0.16542108356952667,6.105363845825195
3,3,0.3348672688007355,6.330817699432373,,
4,4,,,0.16542108356952667,6.009562015533447
4,4,0.3368629813194275,6.235031604766846,,
5,5,,,0.16542108356952667,5.915470600128174
5,5,0.33837562799453735,6.140917778015137,,
6,6,,,0.16542108356952667,5.823103904724121
6,6,0.3385179340839386,6.0484771728515625,,
7,7,,,0.16542108356952667,5.73247766494751
7,7,0.3389219343662262,5.9577178955078125,,
8,8,,,0.16542108356952667,5.643612384796143
8,8,0.3400885760784149,5.868657112121582,,
9,9,,,0.16368496417999268,5.556529521942139
9,9,0.34110426902770996,5.781313896179199,,
