epoch,step,train_acc_epoch,train_loss_epoch,val_acc,val_loss
0,0,,,0.5555555820465088,6.613565921783447
0,0,0.600694477558136,6.949380397796631,,
1,1,,,0.5555555820465088,6.502688407897949
1,1,0.6059027910232544,6.838751792907715,,
2,2,,,0.5625,6.393878936767578
2,2,0.6111111044883728,6.730064392089844,,
3,3,,,0.5833333134651184,6.287181377410889
3,3,0.616319477558136,6.6233673095703125,,
4,4,,,0.5902777910232544,6.1826324462890625
4,4,0.6232638955116272,6.518708229064941,,
5,5,,,0.5972222089767456,6.080255508422852
5,5,0.6284722089767456,6.416118144989014,,
6,6,,,0.6388888955116272,5.980062484741211
6,6,0.6527777910232544,6.315613746643066,,
7,7,,,0.6666666865348816,5.882051944732666
7,7,0.65625,6.217203140258789,,
8,8,,,0.7013888955116272,5.786215305328369
8,8,0.6701388955116272,6.120881080627441,,
9,9,,,0.7222222089767456,5.692541122436523
9,9,0.6909722089767456,6.026638984680176,,
