epoch,step,train_auc_epoch,train_loss_epoch,val_auc,val_loss
0,0,,,0.15750110149383545,8.458216667175293
0,0,0.3757230043411255,8.361092567443848,,
1,1,,,0.15750110149383545,8.294831275939941
1,1,0.37553638219833374,8.197508811950684,,
2,2,,,0.1550319790840149,8.133755683898926
2,2,0.3754379153251648,8.0363187789917,,
3,3,,,0.1550319790840149,7.975151538848877
3,3,0.3756919801235199,7.877669811248779,,
4,4,,,0.1550319790840149,7.819163799285889
4,4,0.37591713666915894,7.721698760986328,,
5,5,,,0.1550319790840149,7.6659321784973145
5,5,0.3782265782356262,7.568537712097168,,
6,6,,,0.1550319790840149,7.5155839920043945
6,6,0.37819311022758484,7.41831111907959,,
7,7,,,0.1550319790840149,7.368228912353516
7,7,0.3776763379573822,7.271127700805664,,
8,8,,,0.1500936895608902,7.223962783813477
8,8,0.3790450096130371,7.1270856857299805,,
9,9,,,0.14762456715106964,7.082859992980957
9,9,0.3780750632286072,6.986260414123535,,
