epoch,step,train_acc_epoch,train_loss_epoch,val_acc,val_loss
0,0,,,0.46875,2.1088619232177734
0,0,0.2265625,2.4236791133880615,,
1,1,,,0.46875,2.114663600921631
1,1,0.234375,2.3877811431884766,,
2,2,,,0.46875,2.121067523956299
2,2,0.2578125,2.3538267612457275,,
3,3,,,0.4375,2.1278586387634277
3,3,0.265625,2.3217458724975586,,
4,4,,,0.4375,2.1348326206207275
4,4,0.2734375,2.291452169418335,,
5,5,,,0.5,2.1417737007141113
5,5,0.2890625,2.2628469467163086,,
6,6,,,0.5,2.1484732627868652
6,6,0.3125,2.2358198165893555,,
7,7,,,0.46875,2.1547398567199707
7,7,0.328125,2.210254192352295,,
8,8,,,0.46875,2.160407543182373
8,8,0.3125,2.1860294342041016,,
9,9,,,0.46875,2.1653337478637695
9,9,0.328125,2.163024425506592,,
