epoch,step,train_auc_epoch,train_auc_step,train_loss_epoch,train_loss_step,val_auc,val_loss
0,4,,,,,0.31433409452438354,6.712371826171875
0,4,0.37759894132614136,,6.982257843017578,,,
1,9,,,,,0.3108239769935608,6.187302589416504
1,9,0.4101027846336365,,6.420820713043213,,,
2,14,,,,,0.30747151374816895,5.723010063171387
2,14,0.3668293058872223,,5.916034698486328,,,
3,19,,,,,0.30866944789886475,5.317938804626465
3,19,0.40658193826675415,,5.472996234893799,,,
4,24,,,,,0.31082484126091003,4.968626976013184
4,24,0.4044051766395569,,5.091270923614502,,,
5,29,,,,,0.3093470335006714,4.670855522155762
5,29,0.399253249168396,,4.757530212402344,,,
6,34,,,,,0.3074124753475189,4.417322635650635
6,34,0.37593874335289,,4.472533702850342,,,
7,39,,,,,0.31084421277046204,4.200329780578613
7,39,0.3796722888946533,,4.238165855407715,,,
8,44,,,,,0.31026914715766907,4.0184173583984375
8,44,0.4049891531467438,,4.02705717086792,,,
9,49,,0.3593655824661255,,3.7675907611846924,,
9,49,,,,,0.3129856586456299,3.8638153076171875
9,49,0.3625740706920624,,3.8544833660125732,,,
