epoch,step,train_auc_epoch,train_loss_epoch,val_auc,val_loss
0,0,,,0.1538359820842743,7.257474422454834
0,0,0.33586692810058594,7.113250732421875,,
1,1,,,0.1538359820842743,7.11979866027832
1,1,0.3358584940433502,6.979751110076904,,
2,2,,,0.1538359820842743,6.984955787658691
2,2,0.3365080654621124,6.849137783050537,,
3,3,,,0.1538359820842743,6.853022575378418
3,3,0.3362940549850464,6.721486568450928,,
4,4,,,0.1538359820842743,6.724053859710693
4,4,0.3355613350868225,6.596853256225586,,
5,5,,,0.1538359820842743,6.59809684753418
5,5,0.3347981572151184,6.475283622741699,,
6,6,,,0.15630511939525604,6.475193023681641
6,6,0.33535289764404297,6.356815814971924,,
7,7,,,0.15630511939525604,6.355373382568359
7,7,0.33508411049842834,6.2414751052856445,,
8,8,,,0.15804122388362885,6.238653659820557
8,8,0.335859477519989,6.129271030426025,,
9,9,,,0.15804122388362885,6.125039100646973
9,9,0.3363792300224304,6.020205497741699,,
