epoch,step,train_auc_epoch,train_loss_epoch,val_auc,val_loss
0,0,,,0.22378195822238922,8.441865921020508
0,0,0.3306196928024292,8.599331855773926,,
1,1,,,0.22131282091140747,8.290525436401367
1,1,0.3312908411026001,8.44776725769043,,
2,2,,,0.22131282091140747,8.140763282775879
2,2,0.3309599459171295,8.29775619506836,,
3,3,,,0.22131282091140747,7.992690086364746
3,3,0.3316296637058258,8.14941120147705,,
4,4,,,0.23045632243156433,7.846402645111084
4,4,0.3319597840309143,8.002840995788574,,
5,5,,,0.23045632243156433,7.701983451843262
5,5,0.33076077699661255,7.858139514923096,,
6,6,,,0.23045632243156433,7.5595011711120605
6,6,0.33114904165267944,7.715396881103516,,
7,7,,,0.23219244182109833,7.419017314910889
7,7,0.3310234844684601,7.5746917724609375,,
8,8,,,0.23219244182109833,7.280584812164307
8,8,0.3312339186668396,7.436095237731934,,
9,9,,,0.23219244182109833,7.144249439239502
9,9,0.3315536081790924,7.299670219421387,,
